date,district_city,cases
"May 27, 2020",চট্টগ্রাম,1948
"May 29, 2020",নারায়ণগঞ্জ,2057
"May 30, 2020",নারায়ণগঞ্জ,2057
"May 28, 2020",চট্টগ্রাম,2138
"May 31, 2020",নারায়ণগঞ্জ,2147
"Jun 1, 2020",নারায়ণগঞ্জ,2153
"May 29, 2020",চট্টগ্রাম,2226
"May 30, 2020",চট্টগ্রাম,2288
"Jun 4, 2020",নেত্রকোনা,2331
"Jun 2, 2020",নারায়ণগঞ্জ,2333
"Jun 3, 2020",নারায়ণগঞ্জ,2409
"May 31, 2020",চট্টগ্রাম,2441
"Jun 4, 2020",নারায়ণগঞ্জ,2460
"Jun 1, 2020",চট্টগ্রাম,2465
"Jun 2, 2020",চট্টগ্রাম,2662
"Jun 3, 2020",চট্টগ্রাম,2781
"Jun 4, 2020",চট্টগ্রাম,2875
"May 8, 2020",ঢাকা,6365
"May 9, 2020",ঢাকা,6629
"May 10, 2020",ঢাকা,6868
"May 11, 2020",ঢাকা,7509
"May 12, 2020",ঢাকা,7922
"May 14, 2020",ঢাকা,8490
"May 15, 2020",ঢাকা,8845
"May 16, 2020",ঢাকা,9190
"May 17, 2020",ঢাকা,9855
"May 19, 2020",ঢাকা,10878
"May 20, 2020",ঢাকা,12386
"May 21, 2020",ঢাকা,13058
"May 22, 2020",ঢাকা,13568
"May 23, 2020",ঢাকা,13797
"May 24, 2020",ঢাকা,14372
"May 25, 2020",ঢাকা,14692
"May 26, 2020",ঢাকা,14974
"May 27, 2020",ঢাকা,15626
"May 28, 2020",ঢাকা,16203
"May 29, 2020",ঢাকা,16452
"May 30, 2020",ঢাকা,16922
"May 31, 2020",ঢাকা,17764
"Jun 1, 2020",ঢাকা,18222
"Jun 2, 2020",ঢাকা,19305
"Jun 3, 2020",ঢাকা,20008
"Jun 4, 2020",ঢাকা,20707
